rownames(z2),Estimate,Std..Error,df,t.value,Pr...t..,mod
L45,StatusNeuro_Presympt,0.00113075322797272,0.000483972603176336,51.3204115873272,2.33639925184098,0.0234122716720438,L45
L46,StatusNeuro_ADAD,0.00299979503828714,0.00100134914725727,52.1668234877769,2.99575332590403,0.00418183969896341,L46
L48,StatusNeuro_ADAD,0.0039855208507322,0.00101199464552842,43.5790073338227,3.93828254758317,0.000291999689195924,L48
L49,StatusNeuro_ADAD,0.00775062445037584,0.00211354915637177,58.9198320678551,3.66711340827339,0.000528544042537673,L49
L50,StatusNeuro_ADAD,0.00369086932565391,0.000779732412935516,58.1779852361518,4.73350762957079,1.45451382994636e-05,L50
L51.Sex2,Sex2,0.00118530627541655,0.000497013249279135,51.2197345878173,2.38485850656036,0.0208243692422209,L51
L51.StatusNeuro_ADAD,StatusNeuro_ADAD,-0.0039616582287225,0.000878630076712579,52.4024617976126,-4.50890350071462,3.69722745624272e-05,L51
L53,StatusNeuro_ADAD,0.00082062547507939,0.000321393291626277,60.1660036079777,2.55333728631035,0.0132222337139271,L53
L54,StatusNeuro_ADAD,0.000637429337986028,0.000260947365542085,55.2485574971954,2.44275061624726,0.0178006333907989,L54
L58,StatusNeuro_ADAD,-0.000530517514202924,0.000230306683012614,41.7004172520966,-2.30352635565451,0.0263049256198399,L58
L59,StatusNeuro_ADAD,0.0028768192109677,0.000706571833880177,56.5472085376228,4.07151696830242,0.000146837174224157,L59
L60,StatusNeuro_ADAD,0.00194776786509539,0.000369416566307615,43.4863167976532,5.27255148453056,4.01473663051207e-06,L60
L61,StatusNeuro_ADAD,0.00266112201896224,0.000858294805597783,56.6163883374865,3.10047550283009,0.00300928939194938,L61
L62,StatusNeuro_ADAD,0.000802843757684108,0.000329175270817591,24.4134087856904,2.43895525836446,0.022359541186647,L62
L63,Sex2,0.00035626921309607,0.000148512116320645,31.199918857699,2.39892354861381,0.0226034437525112,L63
L64,APOE4,0.000497829701751312,0.000208807207090898,36.3981021956415,2.38415957325935,0.022449678872178,L64
L65,Sex2,0.000775713481446983,0.000320577761830546,43.7930461519977,2.41973578272412,0.0197516953854601,L65
L66,StatusNeuro_ADAD,0.000807888435870895,0.000218918177618083,43.0460060572253,3.69036707988822,0.000625280112475599,L66
L70,Sex2,0.000446006108889562,0.000171008823643748,39.7149196355122,2.60808828098075,0.012767066096518,L70
L71,StatusNeuro_ADAD,0.000826747951361133,0.000383098431469318,32.449376247229,2.15805621597108,0.0384250904394477,L71
